284-chuvgau.md	Чувашский ГАУ
286-penzgtu.md	ПензГТУ
287-ulgu.md	УлГУ
289-ulgpu.md	УлГПУ
290-ulgau.md	Ульяновский ГАУ
294-saratov-conservatory.md	СГК
296-rgrtu.md	РГРТУ
298-lgpu.md	ЛГПУ
301-sevgu.md	СевГУ
309-msu-nevelskogo.md	МГУ им. адм. Невельского
311-pgusha.md	ПГУ им. Шолом-Алейхема
313-mgou.md	МГОУ / ГУП
314-guz.md	ГУЗ
318-shchepkin.md	Щепкинское училище
324-spbguvm.md	СПбГУВМ
325-spbgau.md	СПбГАУ
330-bryansk-ranepa.md	Брянский филиал РАНХиГС
331-vladimir-ranepa.md	Владимирский филиал РАНХиГС
332-lipetsk-ranepa.md	Липецкий филиал РАНХиГС
334-vologda-ranepa.md	Вологодский филиал РАНХиГС
335-karelia-ranepa.md	Карельский филиал РАНХиГС
338-chita-ranepa.md	Забайкальский филиал РАНХиГС
345-ogpu.md	ОГПУ
350-povolzhsky-sport.md	ПГУФКСиТ / ГУФКСИТ
351-smolensk-sport.md	СмолГУС
353-mgafk-malakhovka.md	МГАФК
361-kostroma-gsha.md	КГСХА
362-yaroslavl-gsha.md	ЯГСХА
368-kursk-gsha.md	Курский ГАУ
371-bstu-shukhov.md	БГТУ им. Шухова
375-sibgii.md	СГИИ им. Хворостовского
376-ural-conservatory.md	УГК им. Мусоргского
378-kazan-conservatory.md	КГК им. Жиганова
380-rostov-conservatory.md	РГК им. Рахманинова
386-ngpu-chelny.md	НГПУ
387-nvsu.md	НВГУ
392-agni.md	АГТУ «Высшая школа нефти» / АГНИ
393-norilsk-institute.md	НГИИ
394-nhti.md	НХТИ
396-mininsky.md	Мининский университет
400-ngieu.md	НГИЭУ / Княгининский университет
401-altai-ranepa.md	Алтайский филиал РАНХиГС
402-astrakhan-ranepa.md	Астраханский филиал РАНХиГС
403-voronezh-ranepa.md	Воронежский филиал РАНХиГС
404-vyborg-ranepa.md	Выборгский филиал РАНХиГС
406-west-ranepa.md	Западный филиал РАНХиГС
407-ivanovo-ranepa.md	Ивановский филиал РАНХиГС
409-kaluga-ranepa.md	Калужский филиал РАНХиГС
410-kirov-ranepa.md	Кировский филиал РАНХиГС
411-kurgan-ranepa.md	Курганский филиал РАНХиГС
412-niu-ranepa.md	НИУ РАНХиГС
414-omsk-ranepa.md	Омский филиал РАНХиГС
416-perm-ranepa.md	Пермский филиал РАНХиГС
419-smolensk-ranepa.md	Смоленский филиал РАНХиГС
420-sredneruss-ranepa.md	СРИУ РАНХиГС
421-stavropol-ranepa.md	Ставропольский филиал РАНХиГС
423-tula-ranepa.md	Тульский филиал РАНХиГС
424-ulyanovsk-ranepa.md	Ульяновский филиал РАНХиГС
425-cheboksary-ranepa.md	Чебоксарский филиал РАНХиГС
427-orenburg-reu.md	Оренбургский филиал РЭУ
430-bryansk-reu.md	Брянский филиал РЭУ
431-volgograd-reu.md	Волгоградский филиал РЭУ
433-vladimir-finuniv.md	Владимирский филиал Финуниверситета
434-spb-finuniv.md	СПб филиал Финуниверситета
437-au-mvd.md	Академия управления МВД России
438-spb-mvd.md	СПбУ МВД России
439-vsi-mvd.md	ВСИ МВД России
440-krasnodar-mvd.md	КрУ МВД России
441-rostov-mvd.md	РЮИ МВД России
442-dvui-mvd.md	ДВЮИ МВД России
443-uryui-mvd.md	УрЮИ МВД России
444-sibui-mvd.md	СибЮИ МВД России
445-barnaul-mvd.md	БЮИ МВД России
446-omsk-mvd.md	Омская академия МВД России
447-volgograd-mvd.md	ВА МВД России
448-nn-mvd.md	НА МВД России
449-kazan-mvd.md	КЮИ МВД России
451-up-rf.md	УП РФ
457-vitte.md	МУ им. С.Ю. Витте
458-psychoanalysis.md	МИП
459-mmu.md	ММУ
460-urgeu.md	УрГЭУ
461-vsgutu.md	ВСГУТУ
462-razumovsky.md	МГУТУ имени К.Г. Разумовского
464-spbgti.md	СПбГТИ (ТУ)
465-pushkin-institute.md	Институт Пушкина
466-urgahu.md	УрГАХУ
469-pguas.md	ПГУАС
473-skoltech.md	Сколтех
475-chaikovsky-sport.md	ЧГАФКиС
478-bgitu.md	БГИТУ
480-yakutsk-agri.md	ЯГСХА
481-armavir-pedagogical.md	АГПУ
482-shadrinsk-pedagogical.md	ШГПУ
487-lesosibirsk-pedagogical.md	ЛПИ СФУ
